airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
IndiGo,6E-5023 | 6E-449,07:45,New Delhi,05 hrs 50 mins ,13:35,Kolkata,"₹ 3,902",1 stop via Bagdogra,2020-11-24,1,2020-11-09,0
IndiGo,6E-5023 | 6E-6444,07:45,New Delhi,08 hrs 35 mins ,16:20,Kolkata,"₹ 3,902",1 stop via Bagdogra,2020-11-24,1,2020-11-09,0
Spicejet,SG-253,18:20,New Delhi,01 hr 55 mins ,20:15,Kolkata,"₹ 4,428",Non stop,2020-11-24,1,2020-11-09,0
Go Air,G8-101,06:00,New Delhi,02 hrs 05 mins ,08:05,Kolkata,"₹ 3,902",Non stop,2020-11-24,1,2020-11-09,0
Spicejet,SG-263,06:05,New Delhi,02 hrs 05 mins ,08:10,Kolkata,"₹ 3,902",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-282,04:30,New Delhi,02 hrs 15 mins ,06:45,Kolkata,"₹ 4,428",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-377,07:50,New Delhi,02 hrs 15 mins ,10:05,Kolkata,"₹ 3,956",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-6457,10:20,New Delhi,02 hrs 15 mins ,12:35,Kolkata,"₹ 3,956",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-261,17:30,New Delhi,02 hrs 15 mins ,19:45,Kolkata,"₹ 4,854",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-307,18:40,New Delhi,02 hrs 15 mins ,20:55,Kolkata,"₹ 3,956",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-2076,21:20,New Delhi,02 hrs 15 mins ,23:35,Kolkata,"₹ 3,956",Non stop,2020-11-24,1,2020-11-09,0
IndiGo,6E-2424 | 6E-6157,14:10,New Delhi,05 hrs 10 mins ,19:20,Kolkata,"₹ 4,403",1 stop via Lucknow,2020-11-24,1,2020-11-09,0
IndiGo,6E-2701 | 6E-458,08:55,New Delhi,06 hrs 20 mins ,15:15,Kolkata,"₹ 9,310",1 stop via Bhubaneswar,2020-11-24,1,2020-11-09,0
IndiGo,6E-2298 | 6E-6376,16:20,New Delhi,06 hrs 25 mins ,22:45,Kolkata,"₹ 3,956",1 stop via Ahmedabad,2020-11-24,1,2020-11-09,0
